RepoId,LangNum,AuthorNum,Age,CmmtNum,Vulb1Num,Vulb2Num,Vulb3Num,Vulb4Num,C,CPP,RUBY,JAVA,SHELL,PHP,CSHP,PYTHON,JAVASCRIPT,TYPESCRIPT
24586308,4,13,49,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2206953,2,163,108,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1
13855476,2,238,81,18,0,0,1,2,0,0,0,0,1,0,0,0,0,0
15480067,3,411,80,48,0,0,0,2,0,0,0,0,0,0,0,0,1,1
2055965,5,453,109,39,0,0,0,7,0,0,0,0,1,0,0,0,1,0
2540368,2,36,105,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1376664,1,432,114,20,2,0,3,4,0,0,0,0,0,1,0,0,0,0
7613257,15,650,191,133,0,7,4,28,1,1,1,1,1,0,1,1,1,0
2862290,1,43,101,10,1,0,0,12,0,0,0,1,0,0,0,0,0,0
1413492,4,75,75,6,0,0,2,1,0,0,1,0,1,0,0,0,1,0
15150300,2,16,75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21399598,5,423,73,66,0,0,0,3,0,0,0,0,1,1,0,0,1,0
22046023,2,128,73,5,0,0,0,2,0,0,0,0,0,0,0,0,1,0
14003349,3,117,89,12,2,0,0,1,0,0,0,0,0,0,0,0,1,1
538746,21,343,274,228,13,0,4,11,1,1,1,0,1,0,0,1,1,0
3623050,4,7102,102,1114,1,3,1,33,0,0,1,0,1,0,0,1,0,0
19745004,13,2358,166,807,1,0,0,15,0,0,1,1,1,0,0,1,1,0
18611173,4,51,73,12,0,0,0,2,0,0,0,0,0,0,0,0,1,1
1234714,7,1076,116,144,3,0,2,10,0,0,0,0,1,0,0,0,0,0
22394357,11,352,72,77,0,1,2,11,1,1,0,0,1,0,0,1,0,0
455600,25,1152,127,312,0,1,1,2,1,1,0,0,1,1,0,1,1,1
5373551,22,641,126,112,9,0,5,21,1,1,0,1,1,0,0,1,1,0
5084750,1,49,94,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4793392,8,97,143,66,0,0,0,210,1,1,0,0,1,0,0,1,0,0
527644,3,277,126,23,0,0,0,7,0,0,0,0,0,0,0,0,1,0
24579238,4,95,65,15,0,0,0,3,0,0,0,0,0,0,0,0,1,0
18666758,6,10,81,5,0,0,0,1,1,1,0,0,1,0,0,1,0,0
5101141,11,135,95,13,0,0,1,4,1,1,0,0,1,0,0,1,0,0
569041,15,840,250,104,9,0,2,17,1,1,0,0,1,0,0,1,0,0
13233158,10,409,83,101,1,0,1,5,1,1,0,0,1,0,0,1,0,0
20541795,3,73,74,6,0,0,0,3,0,0,1,0,0,0,0,0,0,0
23689830,1,112,71,15,0,0,2,10,0,0,0,0,0,0,0,0,0,0
8297888,3,77,26,22,0,0,1,3,0,0,0,0,1,0,0,0,1,0
6934395,14,703,114,81,1,0,6,3,1,1,1,1,1,1,0,1,1,0
8986773,7,11,23,13,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5362524,1,3,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448045,4,461,171,81,2,3,0,281,0,0,0,0,1,1,0,0,0,0
11061773,2,844,85,89,2,1,1,15,0,0,0,0,0,0,0,0,1,0
17620347,22,915,80,550,13,1,5,44,1,1,0,1,1,0,1,1,1,1
1213225,7,542,169,33,2,0,0,5,0,0,0,0,1,0,0,0,1,0
21467110,8,521,73,158,3,0,2,53,1,1,0,0,1,0,0,1,1,0
12574344,1,194,83,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13753636,7,822,82,304,0,2,7,41,0,0,0,1,1,0,0,0,1,1
15116946,3,237,49,23,0,0,0,3,0,0,0,0,1,0,0,0,1,1
215047,3,106,130,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24186761,3,77,64,16,0,0,0,1,0,0,0,1,0,0,0,0,0,0
15315789,3,122,80,34,0,0,0,29,0,0,0,0,0,0,1,1,0,0
21234201,4,24,71,17,0,0,0,1,0,0,0,0,0,0,0,0,1,0
12226786,5,121,83,14,3,0,3,1,0,1,0,0,1,0,0,1,1,0
3390243,19,1263,103,415,33,1,5,40,1,1,1,1,1,0,0,1,1,0
7874074,3,101,88,9,0,0,0,2,0,0,0,0,0,0,0,0,1,0
16089035,11,220,63,91,0,0,4,6,0,0,0,0,1,0,0,1,1,0
2278524,3,293,92,22,0,0,1,4,0,0,0,0,1,0,0,0,1,0
11507163,3,41,56,74,2,0,0,3,0,0,0,0,0,0,0,0,1,0
13926404,8,374,82,86,2,0,13,4,0,0,0,0,1,0,0,1,1,0
5710341,1,259,93,29,1,0,0,12,0,0,0,0,0,0,0,0,1,0
29112049,7,134,67,58,0,2,3,3,0,0,0,0,0,0,0,1,1,0
17107479,6,158,78,69,1,0,0,11,0,0,0,0,1,0,0,1,1,0
