,average,standard deviation,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
awk,2%,11%,7.17E-05,1.29943407,0.0164,0.1116,0.0005,0.9860496022,3.05E-07
g-code,11%,15%,6.50E-05,0.3333745309,0.1111,0.151,0.0504,0.2829838124,3.65E-06
zenscript,6%,6%,6.03E-05,0.05665500228,0.05665500228,0.05665500228,0.05665500228,0.05665500228,0.05665500228
angelscript,1%,3%,5.94E-05,0.1592731723,0.0114,0.0337,0.0008,0.1278713845,4.10E-05
verilog,2%,5%,5.63E-05,0.2184451777,0.0182,0.0519,0.001,0.1820264009,1.92E-06
scilab,1%,3%,5.12E-05,0.1689327383,0.0121,0.0341,0.0001,0.1292431713,2.36E-07
vhdl,3%,5%,4.94E-05,0.2490999375,0.0311,0.0507,0.0137,0.1506342018,5.81E-06
thrift,1%,1%,4.93E-05,0.1808255815,0.0067,0.0124,0.0012,0.04820674704,1.87E-05
postscript,2%,8%,4.66E-05,0.620528259,0.0248,0.0777,0.0005,0.3396922693,1.73E-07
nesc,33%,33%,4.52E-05,0.3261244839,0.3261244839,0.3261244839,0.3261244839,0.3261244839,0.3261244839
qmake,1%,1%,4.51E-05,0.3144695609,0.005,0.0077,0.0013,0.03236337956,3.92E-06
robotframework,10%,16%,4.23E-05,0.3033812516,0.1011,0.163,0.0135,0.2892463161,0.0006222476891
